message;light;uvIndex;tempCanSat;tempMPU;tempExternal;tempSCD30;ambientTemp;objectTemp;humCanSat;humExternal;humSCD30;pressCanSat;pressExternal;altCanSat;altExternal;accX;accY;accZ;rotX;rotY;rotZ;magX;magY;magZ;latInt;lonInt;latAfterDot;lonAfterDot;co2SCD30;co2CCS811;tvoc;o2Con;a;b;c;d;e;f;g;h;i;j;k;l;r;s;t;u;v;w;numberOfSatellites;RSSI
180;6818;0.00;35.33;34.29;31.56;32.47;30.67;30.51;46.04;49.24;58.07;1025.33;1022.29;-100.13;-75.03;0.13;-0.74;-9.21;0.39;-0.71;-8.05;61.67;-110.58;49.06;0;0;0;0;0;417;2;15.82;27.97;28.90;146.98;86.43;23.06;13.10;4.97;9.00;3.60;4.86;3.39;8.54;0.00;0;-94
181;6818;0.00;35.33;34.29;31.56;32.47;30.67;30.51;46.04;49.24;58.07;1025.33;1022.29;-100.13;-75.03;-0.06;-0.77;-9.25;0.26;-0.99;-8.08;60.60;-110.94;48.72;0;0;0;0;0;417;2;15.82;27.97;28.90;146.98;86.43;23.06;13.10;4.97;9.00;3.60;4.86;3.39;8.54;0.00;0;-95
182;6818;0.00;35.33;34.29;31.56;32.47;30.67;30.51;46.04;49.24;58.07;1025.33;1022.29;-100.13;-75.03;0.24;-0.71;-9.20;-0.19;-0.36;-8.05;59.70;-110.04;50.28;0;0;0;0;0;417;2;15.82;27.97;28.90;146.98;86.43;23.06;13.10;4.97;9.00;3.60;4.86;3.39;8.54;0.00;0;-93
183;6818;0.00;35.33;34.29;31.56;32.47;30.67;30.51;46.04;49.24;58.07;1025.33;1022.29;-100.13;-75.03;0.24;-0.71;-9.20;-0.19;-0.36;-8.05;59.70;-110.04;50.28;0;0;0;0;0;417;2;15.82;28.97;29.86;147.91;86.43;23.85;13.10;4.97;9.53;3.60;5.30;3.39;8.54;0.00;0;-96
184;6818;0.00;35.33;34.29;31.56;32.47;30.67;30.51;46.04;49.24;58.07;1025.33;1022.29;-100.13;-75.03;0.24;-0.71;-9.20;-0.19;-0.36;-8.05;59.70;-110.04;50.28;0;0;0;0;0;417;2;15.82;29.97;29.86;147.91;87.38;23.85;13.10;4.97;9.53;3.60;5.30;3.39;8.54;0.00;0;-97
185;6200;0.00;35.47;34.29;31.57;32.47;30.67;30.59;45.69;49.21;58.07;1025.36;1022.37;-100.32;-75.68;0.24;-0.71;-9.20;-0.19;-0.36;-8.05;59.70;-110.04;50.28;0;0;0;0;0;400;2;15.82;29.97;29.86;147.91;87.38;23.85;13.10;4.97;9.53;3.60;5.30;3.39;8.54;0.00;0;-103
186;6840;0.00;35.48;34.29;31.57;32.47;30.71;31.07;45.65;49.21;58.07;1025.40;1022.30;-100.68;-75.05;0.24;-0.71;-9.20;-0.19;-0.36;-8.05;59.70;-110.04;50.28;0;0;0;0;0;400;2;15.82;29.97;29.86;147.91;87.38;23.85;13.10;4.97;9.53;3.60;5.30;3.39;8.54;0.00;0;-106
188;6840;0.00;35.48;34.28;31.57;32.50;30.71;31.07;45.65;49.21;58.12;1025.40;1022.30;-100.68;-75.05;0.24;-0.71;-9.20;-0.19;-0.36;-8.05;59.70;-110.04;50.28;0;0;0;0;0;400;0;15.60;29.97;29.86;147.91;87.38;23.85;13.10;4.97;9.53;3.60;5.30;3.39;8.54;0.00;0;-109
189;6840;0.00;35.48;34.28;31.57;32.50;30.71;31.07;45.65;49.21;58.12;1025.40;1022.30;-100.68;-75.05;-0.13;-0.91;-9.19;-0.42;3.80;64.97;59.16;-102.25;47.68;0;0;0;0;0;400;0;15.60;29.97;29.86;147.91;87.38;23.85;13.10;4.97;9.53;3.60;5.30;3.39;8.54;0.00;0;-105
190;6840;0.00;35.48;34.28;31.57;32.50;30.71;31.07;45.65;49.21;58.12;1025.40;1022.30;-100.68;-75.05;-0.09;-0.66;-9.20;0.36;0.55;0.09;60.24;-99.00;48.02;0;0;0;0;0;400;0;15.60;29.97;29.86;147.91;87.38;23.85;13.10;4.97;9.53;3.60;5.30;3.39;8.54;0.00;0;-106
